2025-03-30 23:06:18 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-03-30 23:06:20 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-03-30 23:06:20 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port 8083 (http)
2025-03-30 23:06:20 [main] INFO  c.b.c.CreditsServiceApplication - Started CreditsServiceApplication in 3.835 seconds (process running for 4.173)
2025-03-30 23:37:08 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-03-30 23:37:08 [main] INFO  c.b.c.CreditsServiceApplication - Starting CreditsServiceApplication using Java 17.0.10 with PID 30276 (C:\Users\Jefferson\Downloads\credits-service\target\classes started by Jefferson in C:\Users\Jefferson\Downloads\credits-service)
2025-03-30 23:37:08 [main] DEBUG c.b.c.CreditsServiceApplication - Running with Spring Boot v3.4.4, Spring v6.2.5
2025-03-30 23:37:08 [main] INFO  c.b.c.CreditsServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-30 23:37:08 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8888
2025-03-30 23:37:08 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=credits-service, profiles=[default], label=null, version=7672d965fab646d19fb7e7898677ccdebd2a70a2, state=
2025-03-30 23:37:08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
2025-03-30 23:37:08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 87 ms. Found 1 Reactive MongoDB repository interface.
2025-03-30 23:37:08 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=6800fab8-cece-3ad6-9a8a-4e80aa31fd02
2025-03-30 23:37:09 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|reactive-streams|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.10+7"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, transportSettings=NettyTransportSettings{eventLoopGroup=io.netty.channel.nio.NioEventLoopGroup@2bfc8558, socketChannelClass=null, allocator=null, sslContext=null}, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@6029f2a4], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@42576db9, com.mongodb.Jep395RecordCodecProvider@30358dc7, com.mongodb.KotlinCodecProvider@7fac18dc]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@50bf795f], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-03-30 23:37:09 [cluster-ClusterId{value='67ea1bf57b3e2b2048dbbe77', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=40641700, minRoundTripTimeNanos=0}
2025-03-30 23:37:09 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-03-30 23:37:10 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port 8083 (http)
2025-03-30 23:37:10 [main] INFO  c.b.c.CreditsServiceApplication - Started CreditsServiceApplication in 5.667 seconds (process running for 6.051)
