2025-03-30 22:52:06 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-03-30 22:52:07 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-03-30 22:52:07 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port 8082 (http)
2025-03-30 22:52:08 [main] INFO  c.b.a.AccountsServiceApplication - Started AccountsServiceApplication in 3.952 seconds (process running for 4.287)
2025-03-30 23:37:17 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-03-30 23:37:18 [main] INFO  c.b.a.AccountsServiceApplication - Starting AccountsServiceApplication using Java 17.0.10 with PID 25760 (C:\Users\Jefferson\Downloads\accounts-service\target\classes started by Jefferson in C:\Users\Jefferson\Downloads\accounts-service)
2025-03-30 23:37:18 [main] DEBUG c.b.a.AccountsServiceApplication - Running with Spring Boot v3.4.4, Spring v6.2.5
2025-03-30 23:37:18 [main] INFO  c.b.a.AccountsServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-30 23:37:18 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8888
2025-03-30 23:37:18 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=accounts-service, profiles=[default], label=null, version=7672d965fab646d19fb7e7898677ccdebd2a70a2, state=
2025-03-30 23:37:18 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
2025-03-30 23:37:18 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 86 ms. Found 1 Reactive MongoDB repository interface.
2025-03-30 23:37:18 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=50d6ddf4-7f2c-3ccc-91ea-489d02e300d6
2025-03-30 23:37:19 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|reactive-streams|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.10+7"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, transportSettings=NettyTransportSettings{eventLoopGroup=io.netty.channel.nio.NioEventLoopGroup@353b0719, socketChannelClass=null, allocator=null, sslContext=null}, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@2a4e939a], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@110620d, com.mongodb.Jep395RecordCodecProvider@4f402027, com.mongodb.KotlinCodecProvider@22aee519]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@7c226095], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-03-30 23:37:19 [cluster-ClusterId{value='67ea1bff3d823405a5ee9297', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=45050700, minRoundTripTimeNanos=0}
2025-03-30 23:37:19 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-03-30 23:37:20 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port 8082 (http)
2025-03-30 23:37:20 [main] INFO  c.b.a.AccountsServiceApplication - Started AccountsServiceApplication in 3.715 seconds (process running for 4.143)
